S_INFO_WINDCODE,S_INFO_COMPNAME,INDUSTRIESALIAS,INDUSTRIESNAME,INDUSTRIESCODE,REPORT_PERIOD,S_FA_EBT_TTM,ENTRY_DT,REMOVE_DT
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20230331,440316331.64,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20221231,470910862.09,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20220930,523174933.63,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20220630,498124776.12,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20220331,514564142.33,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20211231,516128282.45,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20210930,458837938.95,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20210630,502312584.45,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20210331,514026840.62,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20201231,457842432.55,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20200930,379462178.3,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20200630,411998556.77,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20200331,387309824.72,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20191231,429029356.18,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20190930,735107067.83,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20190630,589171309.52,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20190331,480099390.41,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20181231,339344589.72,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20180930,-59442236.42,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20180630,-58838749.15,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20180331,-61773334.17,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20171231,-61278404.72,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20170930,118106645.31,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20170630,113627666.26,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20170331,111206004.1,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20161231,114206078.2,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20160930,-66202515.69,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20160630,-67597195.88,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20160331,-37835439.52,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20151231,-40425049.61,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20150930,44069918.11,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20150630,49310094.34,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20150331,13441037.82,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20141231,18054066.05,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20140930,-31939551.39,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20140630,39381492.39,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20140331,52642603.87,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20131231,62003485.82,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20130930,48729385.31,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20130630,-14451310.6,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20130331,83090380.14,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20121231,76883246.2,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20120930,63972687.21,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20120630,94869550.38,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20120331,16282323.76,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20111231,13692328.77,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20110930,68008623.11,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20110630,37066726.69,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20110331,16464140.29,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20101231,11165014.28,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20100930,-38734315.56,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20100630,-26935217.27,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20100331,-12912512.18,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20091231,-8726601.02,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20090930,10583824.14,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20090630,11719946.57,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20090331,11733424.19,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20081231,18681641.57,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20080930,48493435.1,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20080630,41734148.18,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20080331,46511850.03,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20071231,46936227.65,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20070930,44409672.85,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20070630,40227635.79,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20070331,32870415.52,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20061231,33086078.62,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20060930,7041951.2,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20060630,8375466.99,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20060331,5117313.48,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20051231,4603090.12,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20050930,-3648415.93,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20050630,-1079550.81,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20050331,-2202480.77,20210730,
000019.SZ,深圳市深粮控股股份有限公司,110502,粮油加工,7601050200000000,20041231,-2117866.38,20210730,
