code,date,closePoint,change,lastDayUpPercent,pe_lym,pe_ttm
399903.SZ,20230619,3766.2532,-39.2631,-1.0317,13.1129,13.0509
399903.SZ,20230616,3805.5163,39.4757,1.0482,13.2325,13.1699
399903.SZ,20230615,3766.0406,72.3228,1.958,13.1459,13.0837
399903.SZ,20230614,3693.7178,-0.4354,-0.0118,12.9594,12.8981
399903.SZ,20230613,3694.1532,20.2966,0.5525,12.9886,12.9272
399903.SZ,20230612,3673.8566,5.9263,0.1616,12.9789,12.9175
399903.SZ,20230609,3667.9303,12.9691,0.3548,12.9168,12.8673
399903.SZ,20230608,3654.9612,28.889,0.7967,12.8134,12.7642
399903.SZ,20230607,3626.0722,-23.2411,-0.6369,12.6929,12.6442
399903.SZ,20230606,3649.3133,-30.6417,-0.8327,12.7745,12.7256
399903.SZ,20230605,3679.955,-20.6997,-0.5594,12.8379,12.7887
399903.SZ,20230602,3700.6547,66.323,1.8249,12.8816,12.8322
399903.SZ,20230601,3634.3317,17.028,0.4707,12.7021,12.6534
399903.SZ,20230531,3617.3037,-48.5617,-1.3247,12.6137,12.5654
399903.SZ,20230530,3665.8654,9.474,0.2591,12.7537,12.7048
399903.SZ,20230529,3656.3914,-21.6723,-0.5892,12.7041,12.6554
399903.SZ,20230526,3678.0637,-11.2017,-0.3036,12.6764,12.6278
399903.SZ,20230525,3689.2654,-16.8227,-0.4539,12.6761,12.6275
399903.SZ,20230524,3706.0881,-48.618,-1.2949,12.7199,12.6711
399903.SZ,20230523,3754.7061,-50.5217,-1.3277,12.916,12.8664
399903.SZ,20230522,3805.2278,29.1744,0.7726,13.125,13.0747
399903.SZ,20230519,3776.0534,-8.5336,-0.2255,13.0285,12.9785
399903.SZ,20230518,3784.587,-14.9096,-0.3924,13.084,13.0338
399903.SZ,20230517,3799.4966,-18.9852,-0.4972,13.0575,13.0074
399903.SZ,20230516,3818.4818,-18.0284,-0.4699,13.1613,13.1108
399903.SZ,20230515,3836.5102,59.9613,1.5877,13.2362,13.1854
399903.SZ,20230512,3776.5489,-54.1728,-1.4142,13.0783,13.0282
399903.SZ,20230511,3830.7217,-3.4688,-0.0905,13.2754,13.2161
399903.SZ,20230510,3834.1905,-7.1469,-0.1861,13.3458,13.2863
399903.SZ,20230509,3841.3374,-39.2454,-1.0113,13.4505,13.3905
399903.SZ,20230508,3880.5828,30.9138,0.803,13.6635,13.6026
399903.SZ,20230505,3849.669,-22.3934,-0.5783,13.3901,13.3303
399903.SZ,20230504,3872.0624,-13.9626,-0.3593,13.4688,13.4087
399903.SZ,20230428,3886.025,35.0325,0.9097,13.4149,13.2035
399903.SZ,20230427,3850.9925,32.2822,0.8454,13.1548,13.0802
399903.SZ,20230426,3818.7103,10.3971,0.273,13.1292,13.0529
399903.SZ,20230425,3808.3132,-33.8812,-0.8818,13.1706,13.1084
399903.SZ,20230424,3842.1944,-51.0954,-1.3124,13.4038,13.2311
399903.SZ,20230421,3893.2898,-76.6842,-1.9316,13.4993,13.3464
399903.SZ,20230420,3969.974,-21.9498,-0.5499,13.7069,13.6182
399903.SZ,20230419,3991.9238,-37.1851,-0.9229,13.6786,13.6234
399903.SZ,20230418,4029.1089,8.7709,0.2182,13.8251,13.7661
399903.SZ,20230417,4020.338,53.1201,1.339,13.7288,13.6098
399903.SZ,20230414,3967.2179,27.6863,0.7028,13.4371,13.3358
399903.SZ,20230413,3939.5316,-33.2872,-0.8379,13.3062,13.2074
399903.SZ,20230412,3972.8188,0.0238,0.0006,13.3972,13.3047
399903.SZ,20230411,3972.795,-2.6736,-0.0673,13.3214,13.2294
399903.SZ,20230410,3975.4686,-7.1408,-0.1793,13.3822,13.2814
399903.SZ,20230407,3982.6094,36.7203,0.9306,13.3274,13.2362
399903.SZ,20230406,3945.8891,-5.1425,-0.1302,13.2505,13.1598
399903.SZ,20230404,3951.0316,0.5067,0.0128,13.2618,13.1711
399903.SZ,20230403,3950.5249,33.3149,0.8505,13.0265,13.0336
399903.SZ,20230331,3917.21,12.5934,0.3225,12.8693,12.9386
399903.SZ,20230330,3904.6166,32.9986,0.8523,13.1693,12.8805
399903.SZ,20230329,3871.618,7.5089,0.1943,13.5761,12.8565
399903.SZ,20230328,3864.1091,-19.1747,-0.4938,13.7018,12.8832
399903.SZ,20230327,3883.2838,-11.8534,-0.3043,13.577,12.8372
399903.SZ,20230324,3895.1372,-14.1732,-0.3625,13.9596,12.9309
399903.SZ,20230323,3909.3104,32.3054,0.8333,14.1493,13.0254
399903.SZ,20230322,3877.005,18.6058,0.4822,14.0455,12.9209
399903.SZ,20230321,3858.3992,48.9408,1.2847,13.9602,12.8478
399903.SZ,20230320,3809.4584,-22.6651,-0.5915,13.7536,12.7255
399903.SZ,20230317,3832.1235,21.1554,0.5551,13.9552,12.9018
399903.SZ,20230316,3810.9681,-55.8019,-1.4431,13.8247,12.7999
399903.SZ,20230315,3866.77,2.3686,0.0613,13.8488,12.8645
399903.SZ,20230314,3864.4014,-21.5366,-0.5542,13.8134,12.8326
399903.SZ,20230313,3885.938,39.7598,1.0337,13.8747,12.8895
399903.SZ,20230310,3846.1782,-47.6128,-1.2228,13.5984,12.6481
399903.SZ,20230309,3893.791,-9.5822,-0.2455,13.8868,12.8454
399903.SZ,20230308,3903.3732,-19.1309,-0.4877,13.8938,12.844
399903.SZ,20230307,3922.5041,-60.599,-1.5214,13.9218,12.8699
399903.SZ,20230306,3983.1031,-20.0787,-0.5016,14.0941,13.0289
399903.SZ,20230303,4003.1818,9.12,0.2283,14.1283,13.0605
399903.SZ,20230302,3994.0618,-11.7344,-0.2929,14.0506,12.9784
399903.SZ,20230301,4005.7962,62.1042,1.5748,14.0635,12.991
399903.SZ,20230228,3943.692,27.7508,0.7087,13.8204,12.7666
399903.SZ,20230227,3915.9412,-23.149,-0.5877,13.7035,12.6586
399903.SZ,20230224,3939.0902,-47.1116,-1.1819,13.7614,12.7087
399903.SZ,20230223,3986.2018,-2.997,-0.0751,13.899,12.8359
399903.SZ,20230222,3989.1988,-46.6554,-1.156,13.9198,12.8551
399903.SZ,20230221,4035.8542,14.8801,0.3701,14.0912,13.0134
399903.SZ,20230220,4020.9741,101.1359,2.5801,14.0428,12.9696
399903.SZ,20230217,3919.8382,-65.893,-1.6532,13.6607,12.605
399903.SZ,20230216,3985.7312,-24.9825,-0.6229,13.8659,12.7943
399903.SZ,20230215,4010.7137,-23.0513,-0.5715,13.8965,12.8226
399903.SZ,20230214,4033.765,-0.2809,-0.007,13.9588,12.8801
399903.SZ,20230213,4034.0459,38.2705,0.9578,13.9582,12.8636
399903.SZ,20230210,3995.7754,-29.6489,-0.7365,13.8589,12.7677
399903.SZ,20230209,4025.4243,49.367,1.2416,13.9528,12.8542
399903.SZ,20230208,3976.0573,-15.1978,-0.3808,13.7923,12.7064
399903.SZ,20230207,3991.2551,3.3577,0.0842,13.8481,12.7533
399903.SZ,20230206,3987.8974,-56.251,-1.3909,13.8494,12.7545
399903.SZ,20230203,4044.1484,-43.6213,-1.0671,14.0077,12.8953
399903.SZ,20230202,4087.7697,-15.1424,-0.3691,14.1288,13.0067
399903.SZ,20230201,4102.9121,40.4736,0.9963,14.1696,13.0444
399903.SZ,20230131,4062.4385,-38.3793,-0.9359,14.0349,12.9203
399903.SZ,20230130,4100.8178,21.4534,0.5259,14.1253,12.9759
399903.SZ,20230120,4079.3644,32.4728,0.8024,14.0891,12.9427
399903.SZ,20230119,4046.8916,28.5668,0.7109,13.9372,12.8032
399903.SZ,20230118,4018.3248,-6.3746,-0.1584,13.8648,12.7367
399903.SZ,20230117,4024.6994,0.0688,0.0017,13.8654,12.7372
399903.SZ,20230116,4024.6306,64.7455,1.635,13.8878,12.7578
399903.SZ,20230113,3959.8851,55.2476,1.4149,13.7411,12.6532
399903.SZ,20230112,3904.6375,10.1158,0.2597,13.5741,12.4994
399903.SZ,20230111,3894.5217,-3.5234,-0.0904,13.5276,12.4566
399903.SZ,20230110,3898.0451,7.9489,0.2043,13.5015,12.4326
399903.SZ,20230109,3890.0962,30.4684,0.7894,13.494,12.4257
399903.SZ,20230106,3859.6278,14.7874,0.3846,13.4118,12.35
399903.SZ,20230105,3844.8404,84.5064,2.2473,13.376,12.2644
399903.SZ,20230104,3760.334,1.2896,0.0343,13.1467,12.0541
399903.SZ,20230103,3759.0444,23.9456,0.6411,13.1163,12.0262
399903.SZ,20221230,3735.0988,8.7142,0.2339,12.996,11.9159
399903.SZ,20221229,3726.3846,-13.8256,-0.3696,12.9774,11.8989
399903.SZ,20221228,3740.2102,-17.6076,-0.4686,13.0666,11.9807
399903.SZ,20221227,3757.8178,37.2493,1.0012,13.1145,12.0246
399903.SZ,20221226,3720.5685,14.5504,0.3926,12.9917,11.912
399903.SZ,20221223,3706.0181,-6.5111,-0.1754,12.9411,11.8656
399903.SZ,20221222,3712.5292,3.7271,0.1005,12.9621,11.8848
399903.SZ,20221221,3708.8021,1.8928,0.0511,12.9347,11.8597
399903.SZ,20221220,3706.9093,-66.1132,-1.7523,12.9232,11.8492
399903.SZ,20221219,3773.0225,-52.802,-1.3801,13.1138,12.024
399903.SZ,20221216,3825.8245,-1.8198,-0.0475,13.3196,12.2127
399903.SZ,20221215,3827.6443,6.9257,0.1813,13.3147,12.2081
399903.SZ,20221214,3820.7186,3.2391,0.0848,13.3183,12.2114
399903.SZ,20221213,3817.4795,-15.235,-0.3975,13.324,12.2167
399903.SZ,20221212,3832.7145,-38.8265,-1.0029,13.3503,12.2408
399903.SZ,20221209,3871.541,45.0512,1.1774,13.524,12.5688
399903.SZ,20221208,3826.4898,0.1708,0.0045,13.3887,12.4431
399903.SZ,20221207,3826.319,-3.5983,-0.094,13.4134,12.4661
399903.SZ,20221206,3829.9173,21.8122,0.5728,13.4899,12.5371
399903.SZ,20221205,3808.1051,67.3459,1.8003,13.4267,12.4784
399903.SZ,20221202,3740.7592,-24.7557,-0.6574,13.126,12.199
399903.SZ,20221201,3765.5149,47.2395,1.2705,13.2207,12.287
399903.SZ,20221130,3718.2754,4.7021,0.1266,13.1039,12.1784
399903.SZ,20221129,3713.5733,116.9931,3.2529,13.0404,12.1194
399903.SZ,20221128,3596.5802,-48.4998,-1.3306,12.7063,11.8089
399903.SZ,20221125,3645.08,17.9543,0.495,12.8529,11.9452
399903.SZ,20221124,3627.1257,-16.3351,-0.4483,12.7128,11.815
399903.SZ,20221123,3643.4608,2.0145,0.0553,12.7681,11.8663
399903.SZ,20221122,3641.4463,-4.7786,-0.1311,12.759,11.8578
399903.SZ,20221121,3646.2249,-32.246,-0.8766,12.6869,11.7908
399903.SZ,20221118,3678.4709,-11.4754,-0.311,12.7831,11.8803
399903.SZ,20221117,3689.9463,-22.8533,-0.6155,12.8066,11.9021
399903.SZ,20221116,3712.7996,-30.3763,-0.8115,12.887,11.9768
399903.SZ,20221115,3743.1759,75.2515,2.0516,12.9604,12.045
399903.SZ,20221114,3667.9244,7.7738,0.2124,12.7536,11.8528
399903.SZ,20221111,3660.1506,111.5229,3.1427,12.7711,11.8691
399903.SZ,20221110,3548.6277,-38.9565,-1.0859,12.4272,11.5558
399903.SZ,20221109,3587.5842,-40.2984,-1.1108,12.5402,11.6608
399903.SZ,20221108,3627.8826,-23.2719,-0.6374,12.6651,11.7769
399903.SZ,20221107,3651.1545,12.814,0.3522,12.7211,11.829
399903.SZ,20221104,3638.3405,123.3208,3.5084,12.6908,11.8009
399903.SZ,20221103,3515.0197,-34.4253,-0.9699,12.3252,11.4608
399903.SZ,20221102,3549.445,42.7742,1.2198,12.4432,11.5706
399903.SZ,20221101,3506.6708,131.8058,3.9055,12.3154,11.4518
399903.SZ,20221031,3374.865,-31.6286,-0.9285,11.9259,11.0896
399903.SZ,20221028,3406.4936,-102.5759,-2.9232,12.0705,11.2126
399903.SZ,20221027,3509.0695,-24.6523,-0.6976,12.3769,11.546
399903.SZ,20221026,3533.7218,26.2659,0.7489,12.4219,11.5673
399903.SZ,20221025,3507.4559,-9.8722,-0.2807,12.3828,11.4684
399903.SZ,20221024,3517.3281,-114.0778,-3.1414,12.4324,11.511
399903.SZ,20221021,3631.4059,-15.3117,-0.4199,12.7795,11.8623
399903.SZ,20221020,3646.7176,-29.2952,-0.7969,12.8261,11.9542
399903.SZ,20221019,3676.0128,-62.5632,-1.6734,12.9089,12.0363
399903.SZ,20221018,3738.576,-9.3093,-0.2484,13.0779,12.1938
399903.SZ,20221017,3747.8853,4.4772,0.1196,13.1036,12.2203
399903.SZ,20221014,3743.4081,99.2916,2.7247,13.0965,12.2261
399903.SZ,20221013,3644.1165,-42.4604,-1.1518,12.8377,11.9845
399903.SZ,20221012,3686.5769,54.5519,1.502,13.0002,12.1362
399903.SZ,20221011,3632.025,13.4399,0.3714,12.858,12.0034
399903.SZ,20221010,3618.5851,-79.2758,-2.1438,12.8285,11.976
399903.SZ,20220930,3697.8609,-23.0384,-0.6192,12.9918,12.1284
399903.SZ,20220929,3720.8993,7.4425,0.2004,13.0315,12.1654
399903.SZ,20220928,3713.4568,-70.5784,-1.8652,13.0063,12.1419
399903.SZ,20220927,3784.0352,52.07,1.3952,13.2076,12.3299
399903.SZ,20220926,3731.9652,-13.7361,-0.3667,13.0414,12.1747
399903.SZ,20220923,3745.7013,-12.1013,-0.322,13.1595,12.2849
399903.SZ,20220922,3757.8026,-39.8504,-1.0493,13.133,12.2602
399903.SZ,20220921,3797.653,-37.4819,-0.9773,13.2067,12.329
399903.SZ,20220920,3835.1349,2.4927,0.065,13.3118,12.4272
399903.SZ,20220919,3832.6422,-2.5625,-0.0668,13.3185,12.4334
399903.SZ,20220916,3835.2047,-88.5594,-2.257,13.3092,12.4247
399903.SZ,20220915,3923.7641,-39.1509,-0.9879,13.5986,12.6948
399903.SZ,20220914,3962.915,-49.6949,-1.2385,13.693,12.783
399903.SZ,20220913,4012.6099,17.2891,0.4327,13.8461,12.9259
399903.SZ,20220909,3995.3208,62.5679,1.5909,13.8042,12.8868
399903.SZ,20220908,3932.7529,-24.1293,-0.6098,13.6076,12.7033
399903.SZ,20220907,3956.8822,5.5527,0.1405,13.6704,12.7619
399903.SZ,20220906,3951.3295,30.2017,0.7702,13.6425,12.7359
399903.SZ,20220905,3921.1278,-11.0017,-0.2798,13.5741,12.672
399903.SZ,20220902,3932.1295,-20.4054,-0.5163,13.563,12.6616
399903.SZ,20220901,3952.5349,-38.1144,-0.9551,13.6196,12.7145
399903.SZ,20220831,3990.6493,3.4837,0.0874,13.7219,12.81
399903.SZ,20220830,3987.1656,-20.829,-0.5197,13.7301,12.9592
399903.SZ,20220829,4007.9946,-15.9667,-0.3968,13.7838,12.9681
399903.SZ,20220826,4023.9613,-13.431,-0.3327,13.8396,13.0599
399903.SZ,20220825,4037.3923,28.4042,0.7085,13.8841,13.1807
399903.SZ,20220824,4008.9881,-84.3525,-2.0607,13.7447,13.0981
399903.SZ,20220823,4093.3406,-19.8196,-0.4819,13.9821,13.4173
399903.SZ,20220822,4113.1602,33.5362,0.822,14.0345,13.4723
399903.SZ,20220819,4079.624,-29.2762,-0.7125,13.9045,13.3882
399903.SZ,20220818,4108.9002,-37.9012,-0.914,13.9486,13.4307
399903.SZ,20220817,4146.8014,41.3357,1.0068,14.0647,13.5646
399903.SZ,20220816,4105.4657,-10.5258,-0.2557,13.9542,13.4489
399903.SZ,20220815,4115.9915,8.5964,0.2093,14.0031,13.4878
399903.SZ,20220812,4107.3951,-0.9552,-0.0233,13.9922,13.4914
399903.SZ,20220811,4108.3503,84.0592,2.0888,13.9605,13.5304
399903.SZ,20220810,4024.2911,-48.174,-1.1829,13.7113,13.2896
399903.SZ,20220809,4072.4651,17.7564,0.4379,13.8401,13.4163
399903.SZ,20220808,4054.7087,-12.7427,-0.3133,13.7749,13.356
399903.SZ,20220805,4067.4514,53.2937,1.3276,13.8191,13.3989
399903.SZ,20220804,4014.1577,36.8882,0.9275,13.6669,13.243
399903.SZ,20220803,3977.2695,-44.5367,-1.1074,13.5242,13.1048
399903.SZ,20220802,4021.8062,-81.6051,-1.9887,13.654,13.2436
399903.SZ,20220801,4103.4113,21.2516,0.5206,13.8904,13.4729
399903.SZ,20220729,4082.1597,-50.4168,-1.22,13.8254,13.4098
399903.SZ,20220728,4132.5765,-1.3771,-0.0333,13.9875,13.5534
399903.SZ,20220727,4133.9536,-26.4381,-0.6355,13.9949,13.5524
399903.SZ,20220726,4160.3917,28.9175,0.6999,14.096,13.6635
399903.SZ,20220725,4131.4742,-27.3017,-0.6565,14.006,13.5762
399903.SZ,20220722,4158.7759,4.7345,0.114,14.0751,13.6432
399903.SZ,20220721,4154.0414,-48.0551,-1.1436,14.0528,13.6236
399903.SZ,20220720,4202.0965,8.2941,0.1978,14.2136,13.7795
399903.SZ,20220719,4193.8024,-37.9283,-0.8963,14.1743,13.7413
399903.SZ,20220718,4231.7307,50.7771,1.2145,14.2707,13.8354
