S_INFO_WINDCODE,S_INFO_COMPNAME,INDUSTRIESALIAS,INDUSTRIESNAME,INDUSTRIESCODE,REPORT_PERIOD,S_FA_EBT_TTM,ENTRY_DT,REMOVE_DT
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20230331,-224929854.33,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20221231,-464859987.79,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20220930,-460252050.26,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20220630,-428409198.64,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20220331,-276624718.7,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20211231,42615857.13,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20210930,151272674.04,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20210630,2262632.8,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20210331,52487780.1,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20201231,65107784.27,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20200930,435072619.12,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20200630,972459466.63,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20200331,1370313273.59,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20191231,1609499878.12,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20190930,1493311122.15,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20190630,1230629044.85,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20190331,782014479.2,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20181231,380855094.21,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20180930,138898503.88,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20180630,-88727899.2,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20180331,-229815158.29,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20171231,-290094681.07,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20170930,-385426470.28,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20170630,-182844345.45,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20170331,9246871.84,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20161231,154503104.03,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20160930,151808878.0,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20160630,-25218430.95,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20160331,-203570932.07,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20151231,-314666646.19,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20150930,-208098971.34,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20150630,-83528844.37,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20150331,61131806.51,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20141231,63374112.54,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20140930,-53266859.08,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20140630,-155120830.21,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20140331,-245885222.56,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20131231,-245423958.88,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20130930,-169205058.45,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20130630,-173962712.43,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20130331,-133019500.99,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20121231,-82171621.14,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20120930,-51674556.4,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20120630,115538942.72,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20120331,161670515.39,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20111231,188591674.35,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20110930,213804586.68,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20110630,162454522.83,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20110331,104413223.18,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20101231,49668906.17,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20100930,-2677637.37,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20100630,-39292678.78,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20100331,-57085358.45,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20091231,-42793278.85,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20090930,-33396479.81,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20090630,-27634391.43,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20090331,24260630.51,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20081231,52849831.34,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20080930,95440215.85,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20080630,97024648.83,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20080331,99543659.44,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20071231,90999093.04,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20070930,41730086.91,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20070630,41730086.91,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20070331,41730086.91,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20061231,41730086.91,20080424,
002234.SZ,山东民和牧业股份有限公司,110703,肉鸡养殖,7601060200000000,20051231,37974580.51,20080424,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20230331,613641102.3,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20221231,470764324.89,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20220930,351805670.98,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20220630,163945912.75,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20220331,385903296.07,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20211231,511543261.7,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20210930,656550677.64,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20210630,1028878186.55,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20210331,1487020844.78,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20201231,2117393990.34,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20200930,3272816318.56,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20200630,3864455670.76,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20200331,4211881734.16,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20191231,4196906640.53,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20190930,3548279162.17,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20190630,2961897240.12,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20190331,2156867397.56,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20181231,1598142189.27,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20180930,1140696062.93,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20180630,715417835.3,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20180331,471596794.92,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20171231,341166602.61,20090922,
002299.SZ,福建圣农发展股份有限公司,110703,肉鸡养殖,7601060200000000,20170930,224962548.57,20090922,
