,S_INFO_WINDCODE,S_INFO_COMPNAME,INDUSTRIESALIAS,INDUSTRIESNAME,INDUSTRIESCODE,REPORT_PERIOD,S_FA_GR_TTM,S_FA_GROSSMARGIN_TTM,ENTRY_DT,REMOVE_DT
0,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19931231,253802716.0,48035381.0,19970318,
1,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19941231,351146907.0,52792871.0,19970318,
2,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19951231,430532601.0,62101377.0,19970318,
3,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19961231,442629787.6,74193892.75,19970318,
4,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19970630,442629787.6,74193892.75,19970318,
5,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19971231,624196596.54,105113686.11,19970318,
6,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19980630,638286928.3,-127538644.82,19970318,
7,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19981231,693341827.43,129760119.74,19970318,
8,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19990630,637599100.93,123879730.82,19970318,
9,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,19991231,679765873.03,145655511.45,19970318,
10,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20000630,816110980.86,176851574.53,19970318,
11,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20001231,1001880591.61,251054126.58,19970318,
12,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20010630,1167734410.63,273968133.3,19970318,
13,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20011231,1115030193.72,227245146.88,19970318,
14,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20020331,1115030193.72,227245146.88,19970318,
15,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20020630,1001975157.15,201252474.48,19970318,
16,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20020930,1115030193.72,227245146.88,19970318,
17,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20021231,1091808742.82,172900784.28,19970318,
18,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20030331,1138604740.43,164396305.01,19970318,
19,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20030630,1186179893.76,165534476.33,19970318,
20,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20030930,1214579500.68,168151983.99,19970318,
21,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20031231,1361640263.4,167093376.41,19970318,
22,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20040331,1483024512.64,167279621.87,19970318,
23,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20040630,1576613604.85,167811535.5,19970318,
24,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20040930,1773033844.95,177072027.78,19970318,
25,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20041231,1841664555.29,185833783.27,19970318,
26,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20050331,1918810183.63,195164897.84,19970318,
27,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20050630,2001430989.8,202146711.45,19970318,
28,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20050930,1996419368.14,206311588.3,19970318,
29,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20051231,1978643128.21,195666859.57,19970318,
30,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20060331,1894760918.3,186581033.62,19970318,
31,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20060630,1855458984.21,182308289.73,19970318,
32,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20060930,1763777267.22,168776511.86,19970318,
33,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20061231,1649577725.62,155591379.1,19970318,
34,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20070331,1512028435.3,144701880.37,19970318,
35,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20070630,1432940072.26,136656345.88,19970318,
36,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20070930,1426125579.05,129538571.09,19970318,
37,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20071231,1390754676.95,110426857.54,19970318,
38,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20080331,1492736118.65,117339957.62,19970318,
39,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20080630,1591305507.36,120592183.79,19970318,
40,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20080930,1675779881.11,124522622.99,19970318,
41,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20081231,1593173003.9,154700034.12,19970318,
42,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20090331,1538251438.38,151272959.5,19970318,
43,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20090630,1497717856.31,162997329.82,19970318,
44,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20090930,1482586745.21,157296330.73,19970318,
45,000702.SZ,湖南正虹科技发展股份有限公司,1104,饲料,7601040000000000,20091231,1658833008.61,157251366.03,19970318,
