,S_INFO_WINDCODE,S_INFO_COMPNAME,INDUSTRIESALIAS,INDUSTRIESNAME,INDUSTRIESCODE,REPORT_PERIOD,S_FA_EBT_TTM,ENTRY_DT,REMOVE_DT
0,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20230331,440316331.64,20191202,
1,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20221231,470910862.09,20191202,
2,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20220930,523174933.63,20191202,
3,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20220630,498124776.12,20191202,
4,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20220331,514564142.33,20191202,
5,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20211231,516128282.45,20191202,
6,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20210930,458837938.95,20191202,
7,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20210630,502312584.45,20191202,
8,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20210331,514026840.62,20191202,
9,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20201231,457842432.55,20191202,
10,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20200930,379462178.3,20191202,
11,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20200630,411998556.77,20191202,
12,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20200331,387309824.72,20191202,
13,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20191231,429029356.18,20191202,
14,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20190930,735107067.83,20191202,
15,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20190630,589171309.52,20191202,
16,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20190331,480099390.41,20191202,
17,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20181231,339344589.72,20191202,
18,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20180930,-59442236.42,20191202,
19,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20180630,-58838749.15,20191202,
20,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20180331,-61773334.17,20191202,
21,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20171231,-61278404.72,20191202,
22,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20170930,118106645.31,20191202,
23,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20170630,113627666.26,20191202,
24,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20170331,111206004.1,20191202,
25,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20161231,114206078.2,20191202,
26,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20160930,-66202515.69,20191202,
27,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20160630,-67597195.88,20191202,
28,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20160331,-37835439.52,20191202,
29,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20151231,-40425049.61,20191202,
30,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20150930,44069918.11,20191202,
31,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20150630,49310094.34,20191202,
32,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20150331,13441037.82,20191202,
33,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20141231,18054066.05,20191202,
34,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20140930,-31939551.39,20191202,
35,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20140630,39381492.39,20191202,
36,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20140331,52642603.87,20191202,
37,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20131231,62003485.82,20191202,
38,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20130930,48729385.31,20191202,
39,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20130630,-14451310.6,20191202,
40,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20130331,83090380.14,20191202,
41,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20121231,76883246.2,20191202,
42,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20120930,63972687.21,20191202,
43,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20120630,94869550.38,20191202,
44,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20120331,16282323.76,20191202,
45,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20111231,13692328.77,20191202,
46,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20110930,68008623.11,20191202,
47,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20110630,37066726.69,20191202,
48,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20110331,16464140.29,20191202,
49,000019.SZ,深圳市深粮控股股份有限公司,37,农林牧渔,b10k000000000000,20101231,11165014.28,20191202,
