S_INFO_WINDCODE,S_INFO_COMPNAME,INDUSTRIESALIAS,INDUSTRIESNAME,INDUSTRIESCODE,REPORT_PERIOD,S_FA_EBT_TTM,ENTRY_DT,REMOVE_DT
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20230331,234097050.25,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20221231,111727773.95,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20220930,-305448444.49,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20220630,-510889041.56,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20220331,-551965605.19,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20211231,-467135290.23,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20210930,-195399666.46,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20210630,22652901.87,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20210331,92105308.71,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20201231,82172413.79,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20200930,193233313.52,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20200630,155374938.85,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20200331,73129788.59,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20191231,30061581.95,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20190930,-28099048.25,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20190630,42554211.25,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20190331,79029158.84,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20181231,425176949.21,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20180930,430904710.25,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20180630,387968962.2,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20180331,441814833.42,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20171231,221760734.97,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20170930,214190024.57,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20170630,250130403.54,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20170331,211237321.08,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20161231,107305002.23,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20160930,128806394.11,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20160630,101132138.04,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20160331,71126494.12,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20151231,77123296.19,19970611,
000735.SZ,罗牛山股份有限公司,110702,生猪养殖,7601060100000000,20150930,61779982.63,19970611,
